Date,State,Dead,Injured,Total,Description
14/05/2022,New York,10,3,13,"2022 Buffalo shooting: An 18-year-old white supremacist clad in body armor opened fire at a Tops supermarket, killing ten, including a security guard, and wounding three others."
13/05/2022,Wisconsin,0,17,17,A gunfight among several groups of people wounded seventeen people following an NBA game in the East Town neighborhood.
13/05/2022,Texas,2,3,5,"Two people were killed, and three were injured, in a shooting in the Deep Ellum neighborhood."
12/05/2022,Arkansas,0,4,4,A fight outside a convention center following a high school graduation ceremony led to a shooting that injured four. No students or graduates were involved in the shooting or the fight.
11/05/2022,New Jersey,1,4,5,"A teenage girl was killed, and four men wounded, in a shooting in the Sandy Hill neighborhood."
11/05/2022,Illinois,0,4,4,"Four people, including two children, were shot while they drove together in a vehicle in the West Englewood neighborhood."
11/05/2022,Missouri,1,3,4,"Four people, including a teenager and a baby, were injured in an ambush while they drove in a car in the Mark Twain neighborhood. One of the adult victims later succumbed to his injuries."
11/05/2022,Indiana,0,4,4,"Four people, including two teenagers, were shot along the Canal Walk after two groups of people began shooting at each other across the water following an argument."
10/05/2022,Texas,1,3,4,"A shooter shot four people, one fatally, before fleeing and sparking a manhunt."
10/05/2022,Illinois,0,6,6,Six people were shot by two men in a drive-by shooting in the Jackson Park neighborhood on the South Side.
10/05/2022,Maryland,0,5,5,Five people were shot during a confrontation between two groups after at least one of the groups opened fire in northwestern Baltimore.
10/05/2022,Illinois,1,4,5,"Five teenagers outside in the Back of the Yards neighborhood on the South Side were shot, one fatally, by multiple occupants of a stolen vehicle."
10/05/2022,Maryland,1,3,4,"Four people were shot, one fatally, in the Milton-Montford neighborhood."
10/05/2022,Pennsylvania,0,4,4,"Four people were shot, including two teenagers, in the Kensington neighborhood."
09/05/2022,Alabama,0,5,5,An argument in the common area of an apartment complex led to a shooting that injured five.
09/05/2022,Michigan,0,4,4,"A fight amongst a group of people in the Chandler Park neighborhood on the city's east side led to four people, including three teenagers, being shot."
08/05/2022,Georgia,3,3,6,"Three people were killed, and another three were injured, in a shooting at a condominium complex. The shooter has not been found."
07/05/2022,Texas,2,2,4,"A shooting outside a house party left two teenagers dead, and two others injured, shortly before midnight."
07/05/2022,Florida,0,4,4,"A fight during an informal car meet among a group of people led to a shooting that injured four, including two juveniles."
07/05/2022,Kentucky,2,3,5,"A shooting during the very early morning killed two, and wounded three."
06/05/2022,Louisiana,2,4,6,"A shooting in the Village de L'Est neighborhood left two killed, and four others wounded."
05/05/2022,Washington,0,5,5,"During a Cinco de Mayo festival, a gang member shot at a member of a rival gang who was in a crowd of people, wounding five bystanders--including four children. The shooting prompted the cancellation of the event. A 13-year old boy has now been arrested as the suspected shooter."
03/05/2022,Oklahoma,0,4,4,A shooting at a casino in Kaw Nation territory wounded four.
03/05/2022,Texas,0,5,5,"An unknown shooter opened fire through an apartment window, and wounded five people."
03/05/2022,Louisiana,0,5,5,Five people were injured in a shooting incident during the evening.
03/05/2022,Illinois,0,4,4,Three people were shot in the Chicago Loop as they sat at a red light at an intersection by two people. Another person was shot by a stray bullet as they crossed the street.
01/05/2022,Florida,0,6,6,"An argument among a group of people led to someone opening fire, wounding six."
01/05/2022,Ohio,1,4,5,"Five people were shot, one fatally, on a street in the early morning."
01/05/2022,Louisiana,0,12,12,Officers responding to shots fired engaged an active shooter and shot the attacker. Eleven people were shot before police stopped the shooter.
01/05/2022,North Carolina,1,3,4,"A party being held at a park ended in gunfire, with four people being shot. One person succumbed to their injuries."
30/04/2022,Mississippi,1,5,6,A shooting by multiple people at a festival wounded five. One of the shooters was fatally shot by a responding officer.
30/04/2022,Georgia,1,4,5,"A fight in the Rosedale Heights neighborhood led to a shooting that killed one, and injured four others."
29/04/2022,Tennessee,2,2,4,"Four teenagers were shot, two fatally, in a drive by shooting."
29/04/2022,Tennessee,2,2,4,"Two people were killed, and three others were injured, after a fight between two biker gangs led to a gunfight in a bar parking lot in the Fountain City neighborhood."
29/04/2022,Louisiana,0,6,6,A shootout at a bar between two groups of people wounded six people in the 11th Ward neighborhood.
29/04/2022,Mississippi,0,4,4,A shooting at a party injured four.
28/04/2022,Alabama,1,3,4,"A woman was killed, and three other people were injured, including a teenager, in a revenge shooting."
27/04/2022,Louisiana,2,3,5,"An argument between two men escalated into a shooting that killed a young girl, and another man. Three children, including a toddler, were also shot."
27/04/2022,Illinois,0,4,4,"Four people, including a teenager, were wounded in a drive-by shooting in the West Garfield Park neighborhood."
27/04/2022,Mississippi,4,0,4,"A man fatally shot three people, including the owner, at a motel in Biloxi before fleeing westward to Gulfport. In Gulfport, he fatally shot another man and carjacked his vehicle, before barricading himself inside a convenience store. The shooter assaulted two employees of the convenience store, but they escaped unharmed, after which he barricaded himself inside an office. The shooter set a fire in the room which caused him to die of smoke inhalation."
27/04/2022,Arizona,0,4,4,Four people were shot during an argument in the Maryvale Village neighborhood.
27/04/2022,Texas,0,4,4,"During the filming of a music video at a barber shop, at least one person opened fire from a passing vehicle, wounding four. A fifth person was injured while trying to flee."
26/04/2022,South Carolina,3,1,4,Three teenagers were fatally shot on a road in northwest Rock Hill. Another person was shot but survived.
25/04/2022,Alabama,1,3,4,"A shooting at a gathering at a Shell gas station wounded three people, and killed one."
24/04/2022,Indiana,2,4,6,"A fight at a house party led to six people being shot, with two dying from their injuries."
24/04/2022,South Carolina,1,3,4,"Four people were shot, one fatally, during the early morning hours."
23/04/2022,California,1,4,5,"Five people were shot, one fatally, in a shooting at a bar in the Muscupiabe neighborhood."
23/04/2022,Georgia,0,5,5,Five people were shot in the Hotel District neighborhood during the late night hours.
23/04/2022,Illinois,2,2,4,"Four people were shot, two fatally, in a drive-by shooting in the West Englewood neighborhood."
23/04/2022,North Carolina,0,4,4,A fight at a sports bar led to a shooting that injured four during the early morning hours in the Goldest East neighborhood.
22/04/2022,Virginia,0,4,4,Four people were injured in a shooting during the night in central Petersburg.
22/04/2022,Washington D.C.,1,4,5,"A 23-year old man shot at random people at Edmund Burke School from his apartment with a sniper-style set-up, wounding four—including a child, in the Forest Hills neighborhood. The man committed suicide as officers entered his apartment."
22/04/2022,Ohio,0,4,4,Four people were injured in the Walnut Hills neighborhood.
21/04/2022,Arkansas,4,0,4,A man shot to death his parents and another couple a quarter-mile apart from each other inside their homes.
20/04/2022,Minnesota,5,0,5,"A man shot four of his family members, including two children, as they slept before shooting himself."
18/04/2022,North Carolina,4,0,4,A man shot his girlfriend and their two young children before shooting himself.
17/04/2022,Florida,1,3,4,"A fight at an Easter party being held at a home ended in gunshots, with a man being killed and three others, including two juveniles, being injured."
17/04/2022,Louisiana,0,5,5,Five people were shot during the late evening hours.
17/04/2022,Oregon,1,3,4,"One teenage boy died, and three others are in a hospital, after a shooting in the Centennial neighborhood."
17/04/2022,Pennsylvania,0,4,4,Four people were shot in the Fairhill neighborhood.
17/04/2022,South Carolina,0,9,9,A shooting at an Easter party being hosted at a nightclub wounded nine.
17/04/2022,California,1,3,4,"A shooting in the Parkway neighborhood wounded three, and killed one, during the early morning hours."
17/04/2022,Pennsylvania,2,9,11,"2022 Pittsburgh shooting: An early morning shooting at a party held at an Airbnb rental property in the East Allegheny neighborhood killed two juveniles, and wounded nine others. Five people sustained injuries such as broken bones and cuts when they jumped out windows to escape the gunfire."
16/04/2022,Nevada,0,4,4,"Four people were shot, including two children, during a house party."
16/04/2022,Michigan,0,4,4,An exchange of gunfire behind a bar left four wounded.
16/04/2022,Texas,1,6,7,"Seven people were shot, one fatally, during a shooting at a pasture party and trail ride."
16/04/2022,Maryland,1,3,4,"A shooting killed one, and injured three others, in northwest Baltimore during the evening."
16/04/2022,South Carolina,0,9,9,"Columbiana Centre shooting: Nine people were shot, and five others were injured while fleeing a shooting at the Columbiana Centre, after at least one person opened fire."
16/04/2022,Georgia,0,4,4,"An argument between two men at a bar escalated, with them opening fire on each other and wounding one another. Two bystanders were also shot."
16/04/2022,New York,1,4,5,"Shortly after midnight, five people were shot, one fatally, in the Armory Square neighborhood."
15/04/2022,California,2,2,4,"A group of people approached another group and opened fire, killing two and wounding two others in the Pacific neighborhood."
15/04/2022,Kansas,1,3,4,"Police officers responding to reports of a suspicious vehicle found a woman inside a Jeep, who refused to cooperate with officers. She then pulled out a gun when officers attempted to remove her from the vehicle and opened fire, wounding three officers before being fatally shot."
12/04/2022,New York,1,3,4,"Four people were shot, one fatally, in the Allerton neighborhood of The Bronx."
